ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,1,13,1302603,1,2,1,285.493213,255.279238,A,C,C,B,A,B,A,B,E,B
2017,5,52,5205109,2,3,1,113.021733,146.354258,A,A,E,A,B,B,A,B,E,C
2017,5,53,5300108,1,2,1,269.749569,232.945782,A,A,D,C,A,A,A,A,A,C
2017,4,43,4303905,2,3,1,210.583484,314.88617,B,A,C,A,C,B,B,D,B,B
2017,2,26,2616209,2,3,1,211.632241,189.050407,A,C,C,A,A,B,B,C,E,B
2017,3,35,3538709,2,3,1,184.66415,272.201814,A,C,C,B,A,B,B,D,E,B
2017,4,41,4106506,2,3,1,258.342598,312.471007,B,A,C,D,A,A,A,B,A,B
2017,2,25,2510808,2,3,1,134.302591,180.471605,B,A,E,A,A,B,B,E,E,C
2017,3,35,3556206,2,3,1,228.006429,258.780222,B,D,D,A,A,B,A,C,E,B
2017,2,26,2607901,2,3,1,168.840676,144.897033,A,C,C,A,A,A,B,A,E,B
2017,3,31,3145000,2,3,1,226.765892,211.190811,B,A,C,A,A,B,A,B,B,B
2017,2,29,2913903,2,3,1,143.07676,161.191491,A,C,E,A,A,B,A,B,E,C
2017,3,31,3106705,2,3,1,207.079877,162.050332,A,C,C,B,A,A,B,A,B,A
2017,2,29,2910057,2,3,1,141.37107,157.863606,A,B,C,A,A,B,C,A,A,A
2017,4,43,4305587,2,3,1,232.181955,224.520069,B,A,D,C,A,A,A,E,A,A
2017,2,23,2307106,2,3,2,161.776715,174.758347,A,B,G,A,A,A,A,C,E,C
2017,1,12,1200401,1,2,1,169.231343,224.193211,B,C,C,A,A,A,A,B,D,A
2017,2,26,2614204,2,3,2,171.685917,184.504963,A,A,D, ,A,A,B,E,A,B
2017,3,31,3145455,2,3,1,202.175576,177.326879,A,C,D,B,A,A,B,A,D,B
2017,2,29,2931350,2,3,1,200.367852,194.572345,B,C,E,A,A,B,A,B,A,C
2017,5,50,5001102,2,3,1,203.801216,221.684596,B,C,C,B,A,A,C,C,A,C
2017,3,35,3527603,2,3,1,114.792158,201.366337,A,A,D,B,A,A,B,D,C,B
2017,3,35,3549805,2,3,1,230.920373,239.6907,B,F,E,B,A,C,A,B,B,B
2017,3,35,3550308,1,3,1,187.445704,275.982371,B,C,D,B,A,B,A,A,B,A
2017,2,26,2616407,2,3,1,199.789978,210.45851,B,C,D,B,A,A,B,A,B,B
2017,3,33,3301702,2,3,1,225.233966,203.881995,B,C,C,A,A,A,B,B,A,A
2017,4,41,4109401,2,3,1,152.769391,265.460641,A,C,E,A,A,C,A,C,A,B
2017,3,35,3550308,1,2,1,239.87073,230.080294,B,C,D,A,A,B,A,D,B,C
2017,3,35,3556503,2,3,1,321.927005,256.710417,B,C,C,B,A,C,B,B,A,B
2017,4,43,4313409,2,3,1,288.080949,301.497666,A,C,C,B,A,A,A,D,A,A
2017,3,31,3129806,2,3,1,186.475565,254.270605,A,C,C,D,A,A,A,D,B,A
2017,2,23,2314102,2,3,1,185.889647,255.158511,A,C,E,A,A,B, ,A,A,C
2017,5,52,5214101,2,3,1,187.635335,168.913743,B,A,D,A,A,A,A,B,C,C
